"Date","Price","Open","High","Low","Change %"
"Jun 28, 2019","677.50","679.88","680.95","676.75","-0.35%"
"Jun 27, 2019","679.85","679.42","682.31","678.30","0.08%"
"Jun 26, 2019","679.33","681.80","681.80","678.76","-0.36%"
"Jun 25, 2019","681.80","680.55","681.95","676.46","0.18%"
"Jun 24, 2019","680.55","683.78","684.86","680.00","-0.45%"
"Jun 21, 2019","683.65","683.82","685.79","680.67","-0.03%"
"Jun 20, 2019","683.88","690.88","690.89","681.96","-1.01%"
"Jun 19, 2019","690.88","695.93","697.04","690.65","-0.73%"
"Jun 18, 2019","695.93","699.95","699.95","694.73","-0.57%"
"Jun 17, 2019","699.95","699.39","701.44","698.09","0.07%"
"Jun 14, 2019","699.46","696.25","701.47","696.03","0.48%"
"Jun 13, 2019","696.11","695.30","697.53","693.94","0.09%"
"Jun 12, 2019","695.48","693.07","696.28","692.43","0.38%"
"Jun 11, 2019","692.82","699.87","699.87","692.70","-0.99%"
"Jun 10, 2019","699.75","693.08","700.43","691.56","0.98%"
"Jun 07, 2019","692.96","692.66","694.02","690.89","0.05%"
"Jun 06, 2019","692.60","693.00","695.44","689.39","-0.07%"
"Jun 05, 2019","693.07","693.32","695.73","691.23","-0.03%"
"Jun 04, 2019","693.25","703.46","703.46","692.95","-1.46%"
"Jun 03, 2019","703.52","709.78","711.00","700.40","-0.88%"
"May 31, 2019","709.78","709.90","715.60","706.18","-0.02%"
"May 30, 2019","709.90","704.68","710.27","704.67","0.74%"
"May 29, 2019","704.68","707.50","710.46","704.13","-0.40%"
"May 28, 2019","707.50","698.83","708.83","697.55","1.27%"
"May 27, 2019","698.65","693.70","698.65","692.85","0.68%"
"May 24, 2019","693.90","696.50","696.66","693.30","-0.37%"
"May 23, 2019","696.48","697.61","700.58","695.75","-0.15%"
"May 22, 2019","697.54","694.87","698.51","693.90","0.40%"
"May 21, 2019","694.76","696.04","697.18","694.36","-0.20%"
"May 20, 2019","696.15","697.11","699.59","695.25","-0.15%"
"May 17, 2019","697.17","694.07","699.13","694.07","0.39%"
"May 16, 2019","694.45","692.15","695.34","689.59","0.39%"
"May 15, 2019","691.77","692.08","695.09","690.48","-0.04%"
"May 14, 2019","692.08","693.36","693.85","691.09","-0.18%"
"May 13, 2019","693.36","686.15","695.40","685.88","1.07%"
"May 10, 2019","686.02","684.62","688.13","683.08","0.19%"
"May 09, 2019","684.75","684.39","688.51","683.38","0.07%"
"May 08, 2019","684.25","684.45","686.65","682.63","-0.05%"
"May 07, 2019","684.62","678.75","685.12","677.75","0.86%"
"May 06, 2019","678.75","677.00","683.12","677.00","0.26%"
"May 03, 2019","677.00","681.77","682.64","677.00","-0.70%"
"May 02, 2019","681.77","677.64","685.38","677.64","0.50%"
"May 01, 2019","678.39","678.02","679.15","676.93","0.10%"
"Apr 30, 2019","677.73","679.06","680.97","676.39","-0.07%"
"Apr 29, 2019","678.21","675.17","680.12","673.61","0.45%"
"Apr 26, 2019","675.17","674.68","676.26","672.72","0.06%"
"Apr 25, 2019","674.75","672.97","678.12","672.27","0.27%"
"Apr 24, 2019","672.90","667.80","674.73","667.18","0.75%"
"Apr 23, 2019","667.90","664.43","670.37","663.77","0.53%"
"Apr 22, 2019","664.40","662.20","665.03","661.54","0.33%"
"Apr 19, 2019","662.20","662.20","662.69","661.13","0.00%"
"Apr 18, 2019","662.20","662.05","664.02","660.90","0.02%"
"Apr 17, 2019","662.05","661.90","662.36","658.73","0.03%"
"Apr 16, 2019","661.84","661.00","664.99","661.00","0.14%"
"Apr 15, 2019","660.93","660.95","664.35","659.77","-0.02%"
"Apr 12, 2019","661.08","663.90","663.90","658.72","-0.42%"
"Apr 11, 2019","663.90","662.35","665.84","661.69","0.23%"
"Apr 10, 2019","662.35","664.73","664.73","661.63","-0.36%"
"Apr 09, 2019","664.73","663.98","665.11","661.05","0.11%"
"Apr 08, 2019","663.98","665.30","665.30","661.65","-0.20%"
"Apr 05, 2019","665.30","665.01","666.41","662.88","0.03%"
"Apr 04, 2019","665.08","667.54","668.75","664.51","-0.37%"
"Apr 03, 2019","667.54","673.40","673.40","665.54","-0.87%"
"Apr 02, 2019","673.40","668.79","674.53","666.75","0.69%"
"Apr 01, 2019","668.79","680.50","680.50","668.65","-1.72%"
"Mar 29, 2019","680.50","681.76","681.76","676.26","-0.18%"
"Mar 28, 2019","681.70","681.44","684.39","678.04","0.03%"
"Mar 27, 2019","681.50","680.64","686.88","680.64","0.13%"
"Mar 26, 2019","680.64","679.84","681.50","677.18","0.14%"
"Mar 25, 2019","679.71","678.55","680.67","677.68","0.12%"
"Mar 22, 2019","678.88","667.68","680.66","667.68","1.73%"
"Mar 21, 2019","667.36","662.38","670.21","659.62","0.74%"
"Mar 20, 2019","662.45","667.29","667.85","661.69","-0.74%"
"Mar 19, 2019","667.36","665.96","667.42","663.00","0.21%"
"Mar 18, 2019","665.96","669.96","669.96","665.47","-0.60%"
"Mar 15, 2019","669.96","671.75","671.75","667.91","-0.27%"
"Mar 14, 2019","671.75","668.55","673.00","668.55","0.45%"
"Mar 13, 2019","668.75","665.73","670.65","664.19","0.49%"
"Mar 12, 2019","665.50","670.63","670.63","664.93","-0.78%"
"Mar 11, 2019","670.73","671.20","671.60","667.19","-0.09%"
"Mar 08, 2019","671.33","667.45","673.65","667.45","0.56%"
"Mar 07, 2019","667.62","660.79","668.66","659.62","1.11%"
"Mar 06, 2019","660.29","657.79","660.50","655.50","0.38%"
"Mar 05, 2019","657.79","660.16","660.16","655.98","-0.37%"
"Mar 04, 2019","660.20","659.75","662.56","657.86","0.07%"
"Mar 01, 2019","659.75","655.86","659.91","653.82","0.60%"
"Feb 28, 2019","655.83","649.25","657.00","648.38","1.01%"
"Feb 27, 2019","649.25","648.05","651.90","647.12","0.17%"
"Feb 26, 2019","648.18","650.71","651.46","647.80","-0.37%"
"Feb 25, 2019","650.58","651.25","651.25","647.59","-0.10%"
"Feb 22, 2019","651.25","654.54","654.54","649.57","-0.50%"
"Feb 21, 2019","654.54","653.21","655.93","651.73","0.20%"
"Feb 20, 2019","653.21","655.57","656.73","652.38","-0.37%"
"Feb 19, 2019","655.63","661.01","662.21","655.23","-0.79%"
"Feb 18, 2019","660.88","661.82","661.86","659.25","-0.16%"
"Feb 15, 2019","661.95","664.45","666.09","661.76","-0.38%"
"Feb 14, 2019","664.45","663.69","667.84","663.27","0.13%"
"Feb 13, 2019","663.62","660.26","664.62","659.62","0.50%"
"Feb 12, 2019","660.33","661.93","662.70","658.89","-0.24%"
"Feb 11, 2019","661.93","658.01","663.54","658.01","0.59%"
"Feb 08, 2019","658.08","658.62","659.43","654.36","-0.07%"
"Feb 07, 2019","658.55","654.83","658.58","652.59","0.57%"
"Feb 06, 2019","654.83","651.54","656.42","651.19","0.51%"
