Instrumento,Reaj,Duration,Monto,Fecha,Familia
BCU0300322,UF,2.09,92285788,2020-01-02,BT
BTP0470930,$,8.56,579644705,2020-01-02,BT
BECOP-I,UF,6.23,2829251521,2020-01-02,BE
BTP0450326,$,5.42,111958440,2020-01-02,BT
BTP0400323,$,2.97,747990220,2020-01-02,BT
BTP0400323,$,2.97,320567237,2020-01-02,BT
BTU0190930,UF,9.74,665528579,2020-01-02,BT
BTU0190930,UF,9.74,998292869,2020-01-02,BT
BTU0190930,UF,9.74,332764290,2020-01-02,BT
BTU0190930,UF,9.74,332764290,2020-01-02,BT
BTU0190930,UF,9.74,332764290,2020-01-02,BT
BTP0400323,$,2.97,267092318,2020-01-02,BT
BCU0300528,UF,7.51,105242255,2020-01-02,BT
BTP0470930,$,8.56,579644705,2020-01-02,BT
BTP0470930,$,8.56,580152587,2020-01-02,BT
BTP0400323,$,2.97,213650686,2020-01-02,BT
BCP0600323,$,2.89,113587005,2020-01-02,BT
BTU0150326,UF,5.9,31182818,2020-01-02,BT
BTU0150326,UF,5.9,156198655,2020-01-02,BT
BTU0190930,UF,9.75,332764865,2020-01-02,BT
BTU0190930,UF,9.75,332764865,2020-01-02,BT
BARAU-F,UF,4.7,59661806,2020-01-02,BE
BBBVK40212,UF,3.85,2366733737,2020-01-02,BE
BBNS-M0412,UF,2.17,916873343,2020-01-02,BE
BITAQ10512,UF,3.15,31624439,2020-01-02,BE
BITAAI0415,UF,0.24,143792890,2020-01-02,BE
BCNOAP0318,UF,1.21,145079780,2020-01-02,BE
BCNOAP0318,UF,1.21,145079780,2020-01-02,BE
BCNOAP0318,UF,1.21,145079780,2020-01-02,BE
BCHIUK0611,UF,2.33,30518490,2020-01-02,BE
BRPLC-D,UF,1.75,144155082,2020-01-02,BE
BINDE-A,UF,1.5,14500501,2020-01-02,BE
BINDE-A,UF,1.5,14500501,2020-01-02,BE
BINDE-A,UF,1.5,14499070,2020-01-02,BE
BINDE-A,UF,1.5,14499070,2020-01-02,BE
BINDE-A,UF,1.5,14499070,2020-01-02,BE
BINDE-A,UF,1.5,14499070,2020-01-02,BE
BHFSA-A,UF,4.74,28461610,2020-01-02,BE
BHFSA-A,UF,4.74,14230805,2020-01-02,BE
BHFSA-A,UF,4.74,14230805,2020-01-02,BE
BFORU-BJ,UF,2.75,28717569,2020-01-02,BE
BFORU-BJ,UF,2.75,28717569,2020-01-02,BE
BFORU-BJ,UF,2.75,28717569,2020-01-02,BE
BENGE-B,UF,2.05,5900931,2020-01-02,BE
BENGE-B,UF,2.05,5900931,2020-01-02,BE
BCTOR-T,UF,18.22,27280844,2020-01-02,BE
BCAPS-H,UF,1.58,15445019,2020-01-02,BE
BCAPS-H,UF,1.58,15445019,2020-01-02,BE
BARAU-Q,UF,0.74,5421371,2020-01-02,BE
BAGUA-Z,UF,1.5,12755173,2020-01-02,BE
BBCI-E1117,$,2.69,5202365252,2020-01-02,BE
BCERV-H,UF,4.8,63240441,2020-01-02,BE
BBCI-E1117,$,2.69,5203875373,2020-01-02,BE
BBCIK10519,UF,3.23,1499197103,2020-01-02,BE
BTP0400323,$,2.97,2135927716,2020-01-02,BT
BTP0400323,$,2.97,213592772,2020-01-02,BT
BTP0400323,$,2.97,160192410,2020-01-02,BT
BCORBY0914,$,2.49,32199103,2020-01-02,BE
BSECD30319,UF,9.21,989928653,2020-01-02,BE
BLATM-A,UF,2.29,30368491,2020-01-02,BE
BCP0600323,$,2.89,113556396,2020-01-02,BT
BTP0450326,$,5.42,223909907,2020-01-02,BT
BTP0450326,$,5.42,111958440,2020-01-02,BT
BTP0400323,$,2.97,533974700,2020-01-02,BT
BTP0400323,$,2.97,533974700,2020-01-02,BT
BTP0400323,$,2.97,533974700,2020-01-02,BT
BTP0400323,$,2.97,533974700,2020-01-02,BT
BTP0400323,$,2.97,533974700,2020-01-02,BT
BTP0400323,$,2.97,533974700,2020-01-02,BT
BTP0400323,$,2.97,533974700,2020-01-02,BT
BTP0400323,$,2.97,533974700,2020-01-02,BT
BTP0400323,$,2.97,533974700,2020-01-02,BT
BTP0400323,$,2.97,533974700,2020-01-02,BT
BTP0470930,$,8.56,580152587,2020-01-02,BT
BSECK70915,UF,5.27,158296345,2020-01-02,BE
BTP0500335,$,11.04,4200452463,2020-01-02,BT
BSECD30319,UF,9.21,707091895,2020-01-02,BE
BSECD30319,UF,9.21,707091895,2020-01-02,BE
BSECD30319,UF,9.21,848510274,2020-01-02,BE
BSECD30319,UF,9.21,424255137,2020-01-02,BE
BSECD30319,UF,9.21,141418379,2020-01-02,BE
BTP0600143,$,14.29,5488040387,2020-01-02,BT
BCTOR-Q,UF,12.8,663575067,2020-01-02,BE
BRPLC-J,UF,10.96,489846359,2020-01-02,BE
BITAAH0614,UF,8.22,2442540493,2020-01-02,BE
BITAAH0614,UF,8.22,2444528723,2020-01-02,BE
BBNSAK0118,UF,3.39,1502867551,2020-01-02,BE
BTP0470930,$,8.56,348091552,2020-01-02,BT
BTU0190930,UF,9.75,332422954,2020-01-02,BT
BTU0150326,UF,5.9,311458240,2020-01-02,BT
BTU0190930,UF,9.75,332422954,2020-01-02,BT
BTU0190930,UF,9.75,332422954,2020-01-02,BT
BBNSAK0118,UF,3.39,1503292289,2020-01-02,BE
BCU0300221,UF,1.06,2826276383,2020-01-02,BT
BCU0300221,UF,1.06,148751389,2020-01-02,BT
BTU0190930,UF,9.75,332422954,2020-01-02,BT
BTU0190930,UF,9.75,332422954,2020-01-02,BT
BCHIAQ0213,UF,2.46,1557191071,2020-01-02,BE
BTU0150321,UF,1.15,2767249729,2020-01-02,BT
BTU0150321,UF,1.15,145644723,2020-01-02,BT
BTU0190930,UF,9.75,332422954,2020-01-02,BT
BTU0190930,UF,9.75,332422954,2020-01-02,BT
BTU0190930,UF,9.75,332422954,2020-01-02,BT
BCORCA0914,$,4.18,3277555933,2020-01-02,BE
BTP0400323,$,2.97,5339747003,2020-01-02,BT
BINT-O1218,UF,5.61,9036570626,2020-01-02,BE
BINT-O1218,UF,5.61,3616670413,2020-01-02,BE
BBNS-M0412,UF,2.17,30596720,2020-01-02,BE
BBNS-M0412,UF,2.17,30596720,2020-01-02,BE
BBNS-M0412,UF,2.17,30596720,2020-01-02,BE
BBNS-M0412,UF,2.17,30596720,2020-01-02,BE
BBNS-M0412,UF,2.17,30596720,2020-01-02,BE
BBNS-M0412,UF,2.17,30596720,2020-01-02,BE
BBNS-M0412,UF,2.17,30596720,2020-01-02,BE
BBNS-M0412,UF,2.17,30596720,2020-01-02,BE
BBNS-M0412,UF,2.17,30596720,2020-01-02,BE
BBNS-M0412,UF,2.17,30596720,2020-01-02,BE
BBNS-M0412,UF,2.17,30596720,2020-01-02,BE
BBNS-M0412,UF,2.17,30596720,2020-01-02,BE
BBNS-M0412,UF,2.17,30596720,2020-01-02,BE
BBNS-M0412,UF,2.17,30596720,2020-01-02,BE
BBNS-M0412,UF,2.17,30596720,2020-01-02,BE
BINT-O1218,UF,5.61,2411113609,2020-01-02,BE
BINT-O1218,UF,5.61,2109724408,2020-01-02,BE
BESTQ40616,UF,1.39,14674064,2020-01-02,BE
BBNSAK0118,UF,3.39,3005735101,2020-01-02,BE
BTP0400323,$,2.97,3203848202,2020-01-02,BT
BITAL21211,UF,2.8,1549068497,2020-01-02,BE
BBNS-Q0513,UF,3.15,2057756227,2020-01-02,BE
BINT-O1218,UF,5.61,904167603,2020-01-02,BE
BVL2CX1239,UF,9.59,57427333,2020-01-02,BT
BSECR10611,UF,0.86,27009956,2020-01-02,BE
BRPLC-D,UF,1.76,57657053,2020-01-02,BE
BRPLC-D,UF,1.76,57657053,2020-01-02,BE
BRPLC-D,UF,1.76,57657053,2020-01-02,BE
BRPLC-D,UF,1.76,57657053,2020-01-02,BE
BRPLC-D,UF,1.76,57657053,2020-01-02,BE
BRPLC-D,UF,1.76,57657053,2020-01-02,BE
BRPLC-D,UF,1.76,57657053,2020-01-02,BE
BRPLC-D,UF,1.76,57657053,2020-01-02,BE
BRPLC-D,UF,1.76,57657053,2020-01-02,BE
BRPLC-D,UF,1.76,57657053,2020-01-02,BE
BRPLC-D,UF,1.76,57657053,2020-01-02,BE
BRPLC-D,UF,1.76,57657053,2020-01-02,BE
BRPLC-D,UF,1.76,57657053,2020-01-02,BE
BRPLC-D,UF,1.76,57657053,2020-01-02,BE
BRPLC-D,UF,1.76,57657053,2020-01-02,BE
BRPLC-D,UF,1.76,57657053,2020-01-02,BE
BFORU-BL,UF,3.27,28475094,2020-01-02,BE
BFORU-BL,UF,3.27,28475094,2020-01-02,BE
BFORU-BL,UF,3.27,28475094,2020-01-02,BE
BFORU-BL,UF,3.27,28475094,2020-01-02,BE
BFORU-BL,UF,3.27,28486448,2020-01-02,BE
BFALA-L,UF,0.28,4783872,2020-01-02,BE
BENGE-B,UF,2.05,17702793,2020-01-02,BE
BENGE-B,UF,2.05,11801862,2020-01-02,BE
BANDI-C,UF,0.37,3615448,2020-01-02,BE
BBNS-Q0513,UF,3.15,1425113326,2020-01-02,BE
BBNS-Q0513,UF,3.15,633383701,2020-01-02,BE
BSECD30319,UF,9.21,423871620,2020-01-02,BE
BCHIUQ1011,UF,2.63,774450582,2020-01-02,BE
BTP0450321,$,1.13,732473791,2020-01-02,BT
BTP0450221,$,1.12,523207466,2020-01-02,BT
BCHIAQ0213,UF,2.46,311524437,2020-01-02,BE
BSECD30319,UF,9.21,424255137,2020-01-02,BE
BTP0400323,$,2.97,533974700,2020-01-02,BT
BTP0400323,$,2.97,533974700,2020-01-02,BT
BTP0400323,$,2.97,533974700,2020-01-02,BT
BTP0400323,$,2.97,533974700,2020-01-02,BT
BBBVM70416,UF,2.2,1601687342,2020-01-02,BE
BCHIAQ0213,UF,2.46,1246097750,2020-01-02,BE
BBIC530312,UF,2.09,665375067,2020-01-02,BE
BTU0130323,UF,3.1,300450541,2020-01-02,BT
BTU0130323,UF,3.09,600714218,2020-01-02,BT
BTP0500335,$,11.05,11997443283,2020-01-02,BT
BLATM-C,UF,2.29,30334356,2020-01-02,BE
BBANV-A,UF,7.8,3363208547,2020-01-02,BE
BLATM-A,UF,2.29,30334356,2020-01-02,BE
BTU0210750,UF,23.74,379223829,2020-01-02,BT
BINT-O1218,UF,5.61,1506095104,2020-01-02,BE
BBANV-A,UF,7.8,2524321515,2020-01-02,BE
BCHIAO0713,UF,1.47,148253998,2020-01-02,BE
BLATM-A,UF,2.29,30334356,2020-01-02,BE
BLATM-A,UF,2.29,30334356,2020-01-02,BE
BLATM-A,UF,2.29,30334356,2020-01-02,BE
BLATM-A,UF,2.29,30334356,2020-01-02,BE
BBANV-A,UF,7.8,841440505,2020-01-02,BE
BSOND-H,UF,8.89,70660052,2020-01-02,BE
BINT-O1218,UF,5.61,7530475522,2020-01-02,BE
BINT-O1218,UF,5.61,903657063,2020-01-02,BE
